TIPO ACTIVO;CODIGO CARTERA;VINCULADO AL FONDO;TIPO DE TITULO;EMISOR;NIT;TIPO INVERSIÓN ;TIPO REGISTRO;SISTEMA TRANSACCIONAL;TIPO MONEDA;TIPO SECTOR;CALIFICACIÓN;DÍAS AL VTO.;DURACIÓN;VAN
9009448;2;1;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;0
9009448;2;2;0;Bancolombia S.A.;8909039388;0;0;0;0;0;0;0;0;1586347.77
9009448;2;2;0;Bancolombia S.A.;8909039388;0;0;0;0;0;0;0;0;454607516.08
9009448;2;1;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;0
9009448;2;2;0;Banco Caja Social;8600073354;0;0;0;0;0;0;0;0;2202898.56
9009448;2;2;0;Banco Caja Social;8600073354;0;0;0;0;0;0;0;0;186434855.09
9009448;2;1;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;88179306.42
9009448;2;1;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;2007247.29
9009448;2;1;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;12530123.9
9009448;2;1;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;2041200.02
9009448;2;1;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;147382475.87
9009448;2;2;0;Bbva Colombia S.A.;8600030201;0;0;0;0;0;0;0;0;2039330
9009448;2;2;0;Bbva Colombia S.A.;8600030201;0;0;0;0;0;0;0;0;889107947.03
9009448;2;1;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;0
9009448;2;1;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;0
9009448;2;1;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;0
9009448;2;1;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;0
9009448;2;1;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;0
9009448;1;2;3;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;522;0;511670000
9009448;1;1;3;Banco De Occidente S.A.;8903002794;2;1;1;1;2;1;531;0;511390000
9009448;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;1159;0;2077060000
9009448;1;2;3;Banco Finandina S.A.;8600518946;2;1;1;1;2;11;535;0;1702742580
9009448;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;1;176;0;1006220000
9009448;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;181;0;1005270000
9009448;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;223;0;1016490000
9009448;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;231;0;505260000
9009448;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;241;0;2008920000
9009448;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;77;0;1003900000
9009448;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;641;0;1012700000
9009448;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;178;0;502085000
9009448;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;139;0;1009720000
9009448;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;474;0;513940000
9009448;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;310;0;505420000
9009448;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;151;0;1006320000
9009448;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;474;0;1027880000
9009448;1;2;3;Bancolombia S.A.;8909039388;2;1;1;1;2;1;285;0;510970000
9009448;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;339;0;504210000
9009448;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;1;176;0;501470000
9009448;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;722;0;1010840000
9009448;1;2;16;Banco Corpbanca Colombia S.A;8909039370;2;1;1;1;2;11;191;0;502480000
9009448;1;2;16;Banco Corpbanca Colombia S.A;8909039370;2;1;1;1;2;11;191;0;506490000
9009448;1;2;3;Banco Corpbanca Colombia S.A;8909039370;2;1;1;1;2;11;380;0;502795000
9009448;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;381;0;505045000
9009448;1;2;4;Cementos Argos S.A.;8901002510;2;1;1;1;1;11;751;0;508935000
9009448;1;2;16;Banco Av Villas S.A.;8600358275;2;1;1;1;2;1;177;0;1002360000
9009448;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;217;0;1004620000
9009448;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;398;0;1004920000
9009448;1;2;16;Banco Av Villas S.A.;8600358275;2;1;1;1;2;1;399;0;502615000
9009448;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;1;231;0;1006550000
9009448;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;438;0;1020730000
9009448;1;2;3;Banco Popular S.A.;8600077389;2;1;1;1;2;1;253;0;509480000
9009448;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;1;458;0;509935000
9009448;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;1;475;0;1017100000
9009448;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;1;478;0;1015920000
9009448;1;2;16;Rci Colombia S.A.;9009776290;2;1;1;1;2;1;256;0;503565000
9009448;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;1062;0;1057540000
9009448;1;2;3;Banco Popular S.A.;8600077389;2;1;1;1;2;1;982;0;1014270000
9009448;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;1873;0;1281010000
9009448;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;1873;0;1281010000
9009448;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;1873;0;1281010000
9009448;1;2;16;Banco De Comercio Ext. De Colombia S.A. Bancoldex;8001499236;2;1;1;1;2;1;522;0;1003980000
9009448;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;529;0;1004230000
9009448;1;2;3;Banco Corpbanca Colombia S.A;8909039370;2;1;1;1;2;11;1079;0;1007170000
9009448;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;715;0;1003350000
9009448;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;1873;0;1281010000
9009448;1;2;16;Corporacion Financiera Colombiana S.A.;8903006536;2;1;1;1;2;1;363;0;1000330000
9001651;2;1;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;95327103.86
9001651;2;1;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;2571074627.86
9001651;1;2;43;Inversiones La 14;890325060;2;2;4;1;1;1;1424;0;64206725407.29
9009438;2;2;0;Banco De Comercio Ext. De Colombia S.A. Bancoldex;8001499236;0;0;0;0;0;0;0;0;0
9009438;2;2;0;Banco De Bogota S.A.;8600029644;0;0;0;0;0;0;0;0;0
9009438;2;2;0;Banco Av Villas S.A.;8600358275;0;0;0;0;0;0;0;0;0
9009438;2;2;0;Banco De Bogota S.A.;8600029644;0;0;0;0;0;0;0;0;2998553.88
9009438;2;2;0;Banco De Bogota S.A.;8600029644;0;0;0;0;0;0;0;0;0
9009438;2;2;0;Banco De Bogota S.A.;8600029644;0;0;0;0;0;0;0;0;132070112250.02
9009438;2;2;0;Banco De Bogota S.A.;8600029644;0;0;0;0;0;0;0;0;298358907.23
9009438;2;2;0;Banco Av Villas S.A.;8600358275;0;0;0;0;0;0;0;0;2066060408.84
9009438;2;2;0;Banco Av Villas S.A.;8600358275;0;0;0;0;0;0;0;0;2005880.99
9009438;2;1;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;5776264.56
9009438;2;1;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;0
9009438;2;2;0;Scotiabank Colombia S.A.;8600517052;0;0;0;0;0;0;0;0;0
9009438;2;2;0;Scotiabank Colombia S.A.;8600517052;0;0;0;0;0;0;0;0;0
9009438;2;2;0;Scotiabank Colombia S.A.;8600517052;0;0;0;0;0;0;0;0;0
9009438;2;2;0;Helm Bank;8600076603;0;0;0;0;0;0;0;0;2218736.72
9009438;2;2;0;Helm Bank;8600076603;0;0;0;0;0;0;0;0;827166136.26
9009438;2;2;0;Citibank Colombia S.A.;8600511354;0;0;0;0;0;0;0;0;2528672.84
9009438;2;2;0;Citibank Colombia S.A.;8600511354;0;0;0;0;0;0;0;0;0
9009438;2;2;0;Hsbc Colombia S.A.;8600509309;0;0;0;0;0;0;0;0;0
9009438;2;2;0;Hsbc Colombia S.A.;8600509309;0;0;0;0;0;0;0;0;0
9009438;2;2;0;Banco Coomeva S.A. Bancoomeva;9004061505;0;0;0;0;0;0;0;0;337398.39
9009438;2;2;0;Banco Coomeva S.A. Bancoomeva;9004061505;0;0;0;0;0;0;0;0;6022091.49
9009438;2;2;0;Banco Colpatria Multibanca Colpatria S.A.;8600345941;0;0;0;0;0;0;0;0;2156610.6
9009438;2;2;0;Banco Colpatria Multibanca Colpatria S.A.;8600345941;0;0;0;0;0;0;0;0;44024223629.7
9009438;2;2;0;Bancolombia S.A.;8909039388;0;0;0;0;0;0;0;0;4683708.16
9009438;2;2;0;Bancolombia S.A.;8909039388;0;0;0;0;0;0;0;0;37481115694.99
9009438;2;1;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;0
9009438;2;2;0;Bancolombia S.A.;8909039388;0;0;0;0;0;0;0;0;217179782.59
9009438;2;2;0;Bancolombia S.A.;8909039388;0;0;0;0;0;0;0;0;184063934.79
9009438;2;1;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;0
9009438;2;1;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;0
9009438;2;2;0;Banco Corpbanca Colombia S.A;8909039370;0;0;0;0;0;0;0;0;860538888.98
9009438;2;2;0;Banco Corpbanca Colombia S.A;8909039370;0;0;0;0;0;0;0;0;1951763.92
9009438;2;1;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;0
9009438;2;2;0;Banco Av Villas S.A.;8600358275;0;0;0;0;0;0;0;0;0
9009438;2;2;0;Banco Av Villas S.A.;8600358275;0;0;0;0;0;0;0;0;0
9009438;2;2;0;Banco Av Villas S.A.;8600358275;0;0;0;0;0;0;0;0;0
9009438;2;2;0;Banco Av Villas S.A.;8600358275;0;0;0;0;0;0;0;0;0
9009438;2;2;0;Banco Av Villas S.A.;8600358275;0;0;0;0;0;0;0;0;252262384.24
9009438;2;2;0;Banco Av Villas S.A.;8600358275;0;0;0;0;0;0;0;0;2237578.19
9009438;2;2;0;Banco Av Villas S.A.;8600358275;0;0;0;0;0;0;0;0;614929925.71
9009438;2;2;0;Banco Santander De Negocios Colombia S.A.;9006281103;0;0;0;0;0;0;0;0;33186696124.77
9009438;2;2;0;Banco Santander De Negocios Colombia S.A.;9006281103;0;0;0;0;0;0;0;0;0
9009438;2;2;0;Banco Popular S.A.;8600077389;0;0;0;0;0;0;0;0;2975476.29
9009438;2;2;0;Banco Popular S.A.;8600077389;0;0;0;0;0;0;0;0;0
9009438;2;2;0;Bancompartir S.A.;8600259715;0;0;0;0;0;0;0;0;0
9009438;2;2;0;Bancompartir S.A.;8600259715;0;0;0;0;0;0;0;0;0
9009438;2;2;0;Giros Y Finanzas Cia De Financiamiento Comercial;8600067979;0;0;0;0;0;0;0;0;2338872.58
9009438;2;2;0;Giros Y Finanzas Cia De Financiamiento Comercial;8600067979;0;0;0;0;0;0;0;0;0
9009438;2;2;0;Banco Gnb Sudameris S.A.;8600507501;0;0;0;0;0;0;0;0;3060393.41
9009438;2;2;0;Banco Falabella S.A.;9000479818;0;0;0;0;0;0;0;0;1000000
9009438;2;2;0;Banco Falabella S.A.;9000479818;0;0;0;0;0;0;0;0;25731670036.86
9009438;2;2;0;Bancolombia S.A.;8909039388;0;0;0;0;0;0;0;0;0
9009438;2;2;0;Banco Caja Social;8600073354;0;0;0;0;0;0;0;0;0
9009438;2;1;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;0
9009438;2;2;0;Banco Popular S.A.;8600077389;0;0;0;0;0;0;0;0;28896209114.07
9009438;2;2;0;Banco Caja Social;8600073354;0;0;0;0;0;0;0;0;24989478448.96
9009438;2;2;0;Banco Caja Social;8600073354;0;0;0;0;0;0;0;0;2311969.59
9009438;2;1;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;9155768512.06
9009438;2;1;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;22697367.31
9009438;2;1;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;260289993.14
9009438;2;1;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;21382035.68
9009438;2;1;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;779732.84
9009438;2;1;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;885797.18
9009438;2;1;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;0
9009438;2;1;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;0
9009438;2;1;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;119994862.53
9009438;2;1;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;29058895357.19
9009438;2;1;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;774912338.6
9009438;2;1;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;123327466.54
9009438;2;1;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;122051332.57
9009438;2;2;0;Bbva Colombia S.A.;8600030201;0;0;0;0;0;0;0;0;36713753174.71
9009438;2;2;0;Bbva Colombia S.A.;8600030201;0;0;0;0;0;0;0;0;3098017
9009438;2;2;0;Bbva Colombia S.A.;8600030201;0;0;0;0;0;0;0;0;122077834.43
9009438;2;2;0;Bbva Colombia S.A.;8600030201;0;0;0;0;0;0;0;0;125098224.65
9009438;2;2;0;Banco Agrario De Colombia S.A;8000378008;0;0;0;0;0;0;0;0;3105358
9009438;2;2;0;Bancompartir S.A.;8600259715;0;0;0;0;0;0;0;0;73242.45
9009438;2;2;0;Bancompartir S.A.;8600259715;0;0;0;0;0;0;0;0;0
9009438;2;1;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;0
9009438;2;2;0;Banco Pichincha S.A.;8902007567;0;0;0;0;0;0;0;0;11010189806.36
9009438;2;2;0;Banco Pichincha S.A.;8902007567;0;0;0;0;0;0;0;0;2036500
9009438;2;2;0;Banco Agrario De Colombia S.A;8000378008;0;0;0;0;0;0;0;0;10985271480.05
9009438;2;2;0;Banco Davivienda S.A.;8600343137;0;0;0;0;0;0;0;0;0
9009438;2;2;0;Banco Davivienda S.A.;8600343137;0;0;0;0;0;0;0;0;16216388.88
9009438;2;1;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;0
9009438;2;2;0;Citibank Colombia S.A.;8600511354;0;0;0;0;0;0;0;0;71934280906.26
9009438;2;2;0;Citibank Colombia S.A.;8600511354;0;0;0;0;0;0;0;0;0
9009438;2;2;0;Banco Davivienda S.A.;8600343137;0;0;0;0;0;0;0;0;15516212132.08
9009438;2;2;0;Banco Davivienda S.A.;8600343137;0;0;0;0;0;0;0;0;2949941
9009438;2;2;0;Banco Davivienda S.A.;8600343137;0;0;0;0;0;0;0;0;0
9009438;2;1;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;0
9009438;2;1;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;0
9009438;2;1;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;0
9009438;2;1;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;0
9009438;2;1;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;0
9009438;2;1;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;0
9009438;2;1;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;0
9009438;2;1;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;0
9009438;2;1;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;703858.58
9009438;2;1;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;0
9009438;2;2;0;Banco Gnb Sudameris S.A.;8600507501;0;0;0;0;0;0;0;0;136546292886.12
9009438;2;2;0;Banco Finandina S.A.;8600518946;0;0;0;0;0;0;0;0;1358767768.92
9009438;2;2;0;Banco Finandina S.A.;8600518946;0;0;0;0;0;0;0;0;0
9009438;1;1;41;Occitesoros - Cartera Colectiva Abierta Sin Pacto De Permanencia ;9000729521;2;1;1;1;2;1;1;0;52190063711.38
9009438;1;2;77;Banco De La Republica;8600052167;2;1;1;1;4;9;0;0;40000120000
9009438;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;440;0;7113330000
9009438;1;2;3;Bancolombia S.A.;8909039388;2;1;1;1;2;1;285;0;2043880000
9009438;1;2;16;Banco Corpbanca Colombia S.A;8909039370;2;1;1;1;2;11;144;0;2039860000
9009438;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;439;0;1016350000
9009438;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;156;0;2551925000
9009438;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;94;0;1028770000
9009438;1;2;3;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;51;0;5072100000
9009438;1;2;3;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;51;0;3043260000
9009438;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;34;0;4057400000
9009438;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;136;0;3022200000
9009438;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;15;0;4555305000
9009438;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;380;0;8160880000
9009438;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;24;0;5559015000
9009438;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;1;86;0;4021720000
9009438;1;2;3;Banco Popular S.A.;8600077389;2;1;1;1;2;1;463;0;3087930000
9009438;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;1;86;0;2010860000
9009438;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;337;0;1017340000
9009438;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;438;0;1020730000
9009438;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;107;0;3052740000
9009438;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;161;0;1009310000
9009438;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;161;0;1009310000
9009438;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;161;0;1009310000
9009438;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;171;0;15114750000
9009438;1;2;16;Banco Santander De Negocios Colombia S.A.;9006281103;2;1;1;1;2;1;34;0;10102000000
9009438;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;92;0;5022000000
9009438;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;108;0;1017440000
9009438;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;1;39;0;12111960000
9009438;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;223;0;6098940000
9009438;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;231;0;16168320000
9009438;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;241;0;20089200000
9009438;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;77;0;5521450000
9009438;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;1;265;0;10052500000
9009438;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;641;0;8101600000
9009438;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;50;0;1516425000
9009438;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;1;282;0;3060840000
9009438;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;50;0;1516425000
9009438;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;105;0;1021330000
9009438;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;231;0;1010520000
9009438;1;2;3;Bancolombia S.A.;8909039388;2;1;1;1;2;1;47;0;505570000
9009438;1;2;3;Bancolombia S.A.;8909039388;2;1;1;1;2;1;47;0;1516710000
9009438;1;1;16;Banco De Occidente S.A.;8903002794;2;1;1;1;2;1;115;0;8104400000
9009438;1;2;3;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;251;0;4041840000
9009438;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;102;0;5064500000
9009438;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;139;0;504860000
9009438;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;1;226;0;1011810000
9009438;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;105;0;2042660000
9009438;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;289;0;20374800000
9009438;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;474;0;4625460000
9009438;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;307;0;1014090000
9009438;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;301;0;1518870000
9009438;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;538;0;5115500000
9009438;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;310;0;5054200000
9009438;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;314;0;1518810000
9009438;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;315;0;7071400000
9009438;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;317;0;5556100000
9009438;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;1;122;0;2024380000
9009438;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;4;136;0;6554275000
9009438;1;2;3;Bancolombia S.A.;8909039388;2;1;1;1;2;1;285;0;2043880000
9009438;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;339;0;20168400000
9009438;1;2;16;Banco De Comercio Ext. De Colombia S.A. Bancoldex;8001499236;2;1;1;1;2;1;162;0;1507305000
9009438;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;163;0;5021600000
9009438;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;163;0;8540205000
9009438;1;2;16;Banco Popular S.A.;8600077389;2;1;1;1;2;1;169;0;4015640000
9009438;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;1;176;0;2005880000
9009438;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;722;0;10108400000
9009438;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;360;0;5008800000
9009438;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;360;0;14024640000
9009438;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;360;0;4507920000
9009438;1;2;16;Banco Popular S.A.;8600077389;2;1;1;1;2;1;182;0;1001870000
9009438;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;365;0;2502775000
9009438;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;366;0;6033360000
9009438;1;2;16;Banco Av Villas S.A.;8600358275;2;1;1;1;2;1;189;0;8035040000
9009438;1;2;16;Banco De Comercio Ext. De Colombia S.A. Bancoldex;8001499236;2;1;1;1;2;1;190;0;5521725000
9009438;1;2;16;Banco Corpbanca Colombia S.A;8909039370;2;1;1;1;2;4;8;0;7023030000
9009438;1;2;16;Banco Corpbanca Colombia S.A;8909039370;2;1;1;1;2;11;191;0;5024800000
9009438;1;2;16;Banco Corpbanca Colombia S.A;8909039370;2;1;1;1;2;11;191;0;4051920000
9009438;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;69;0;351848000
