fondo;TIPO ACTIVO;VINCULADO O NO;TIPÒ TITULO;EMISOR;NIT;TIPO INVERSION;TIPO REGISTRO;SISTEMA TRANSACCIONAL;TIPO MONEDA;TIPO SECTOR;CALIFICACION;DIAS AL VTO;duracion;VPN
9041248;2;2;0;Banco Colpatria Multibanca Colpatria S.A.;8600345941;0;0;0;0;0;0; -   ; -   ;881445892.28
9041248;2;2;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0; -   ; -   ;48915536.38
9041248;2;2;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0; -   ; -   ;40925461.21
9041248;2;2;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0; -   ; -   ;475042.42
9041248;2;2;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0; -   ; -   ;14455543.93
9041248;2;2;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0; -   ; -   ;3709132939.7
9041248;2;2;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0; -   ; -   ;6908199.39
9041248;2;1;0;Banco Agrario De Colombia S.A;8000378008;0;0;0;0;0;0; -   ; -   ;868289
9041248;2;1;0;Banco Agrario De Colombia S.A;8000378008;0;0;0;0;0;0; -   ; -   ;36614133.92
9041248;2;1;0;Banco Agrario De Colombia S.A;8000378008;0;0;0;0;0;0; -   ; -   ;178887993.13
9041248;2;1;0;Banco Agrario De Colombia S.A;8000378008;0;0;0;0;0;0; -   ; -   ;10017093
9041248;2;2;0;Banco Davivienda S.A.;8600343137;0;0;0;0;0;0; -   ; -   ;4105788194.18
9041248;2;2;0;Banco Davivienda S.A.;8600343137;0;0;0;0;0;0; -   ; -   ;1108934132.75
9041248;2;2;0;Banco Davivienda S.A.;8600343137;0;0;0;0;0;0; -   ; -   ;486270
9041248;2;2;0;Banco Av Villas S.A.;8600358275;0;0;0;0;0;0; -   ; -   ;44957166.37
9041248;2;2;0;Banco Av Villas S.A.;8600358275;0;0;0;0;0;0; -   ; -   ;739908.9
9041248;2;2;0;Banco Caja Social;8600073354;0;0;0;0;0;0; -   ; -   ;19500000
9041248;2;2;0;Banco Santander De Negocios Colombia S.A.;9006281103;0;0;0;0;0;0; -   ; -   ;28961630631.5
9041248;2;2;0;Fiduagraria Sebra -Fondo Abierto Fic 600;2095;0;0;0;0;0;0; -   ; -   ;3894493.32
9004786;1;2;16;Banco Popular S.A.;8600077389;2;1;1;1;2;1;526; -   ;2022040000
9004786;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;188; -   ;1010800000
9004786;1;2;16;Banco Av Villas S.A.;8600358275;2;1;1;1;2;1;31; -   ;2031640000
9004786;1;2;16;Banco De Occidente S.A.;8903002794;2;1;1;1;2;1;42; -   ;2027800000
9004786;1;2;16;Banco Av Villas S.A.;8600358275;2;1;1;1;2;1;44; -   ;3042210000
9004786;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;49; -   ;1519050000
9004786;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;1;51; -   ;5064900000
9004786;1;2;16;Banco Falabella S.A.;9000479818;2;1;1;1;2;1;53; -   ;5062150000
9004786;1;2;16;Banco Falabella S.A.;9000479818;2;1;1;1;2;1;79; -   ;4032400000
9004786;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;296; -   ;517445000
9004786;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;83; -   ;2506675000
9004786;1;2;16;Banco Av Villas S.A.;8600358275;2;1;1;1;2;1;73; -   ;1009300000
9004786;1;2;16;Banco Av Villas S.A.;8600358275;2;1;1;1;2;1;10; -   ;203866000
9004786;1;2;16;Banco Corpbanca Colombia S.A;8909039370;2;1;1;1;2;11;7; -   ;1018870000
9004786;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;183; -   ;515115000
9004786;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;253; -   ;510875000
9004786;1;2;16;Banco Falabella S.A.;9000479818;2;1;1;1;2;1;324; -   ;5147700000
9004786;1;2;16;Banco Corpbanca Colombia S.A;8909039370;2;1;1;1;2;11;247; -   ;1022490000
9004786;1;2;16;Banco Corpbanca Colombia S.A;8909039370;2;1;1;1;2;11;247; -   ;511245000
9004786;1;2;16;Banco Finandina S.A.;8600518946;2;1;1;1;2;11;388; -   ;4134440000
9004786;1;2;16;Banco Finandina S.A.;8600518946;2;1;1;1;2;11;449; -   ;1023410000
9004786;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;72; -   ;2018460000
9004786;1;2;16;Corporacion Financiera Colombiana S.A.;8903006536;2;1;1;1;2;1;104; -   ;511025000
9004786;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;162; -   ;20683600
9004786;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;256; -   ;401020000
9004786;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;68; -   ;1009880000
9004786;1;2;16;Banco Corpbanca Colombia S.A;8909039370;2;1;1;1;2;11;92; -   ;2035240000
9004786;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;1;174; -   ;100101000
9004786;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;1;174; -   ;100101000
9004786;1;2;16;Banco De Occidente S.A.;8903002794;2;1;1;1;2;1;264; -   ;100088000
9004786;1;2;16;Leasing Bancoldex S.A. Compañia De Financiamiento;8002253859;2;1;1;1;2;1;167; -   ;1015720000
9004786;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;381; -   ;517150000
9004786;1;2;16;Banco Falabella S.A.;9000479818;2;1;1;1;2;1;295; -   ;6593015000
9004786;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;82; -   ;1002830000
9004786;1;2;16;Financiera America S.A. Compað?A De Financiamiento;8600259715;2;1;1;1;2;11;274; -   ;2042800000
9004786;1;2;16;Gmac Financiera De Colombia S.A.;8600293968;2;1;1;1;2;1;334; -   ;1010860000
9004786;1;2;16;Gmac Financiera De Colombia S.A.;8600293968;2;1;1;1;2;1;373; -   ;523140000
9004786;1;2;16;Gmac Financiera De Colombia S.A.;8600293968;2;1;1;1;2;1;52; -   ;3078750000
9004786;1;2;16;Gmac Financiera De Colombia S.A.;8600293968;2;1;1;1;2;1;31; -   ;2033000000
9004786;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;309; -   ;2033840000
9004786;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;135; -   ;2527525000
9004786;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;313; -   ;1524270000
9004786;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;497; -   ;1528920000
9004786;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;1;518; -   ;1013580000
9004786;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;526; -   ;1011340000
9004786;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;394; -   ;2028300000
9004786;1;2;16;Banco Corpbanca Colombia S.A;8909039370;2;1;1;1;2;11;300; -   ;1530390000
9004786;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;644; -   ;507505000
9004786;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;325; -   ;1010430000
9004786;1;2;16;Banco Pichincha S.A.;8902007567;2;1;1;1;2;11;339; -   ;3007410000
9004786;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;158; -   ;1008840000
9004786;1;2;16;Banco Av Villas S.A.;8600358275;2;1;1;1;2;1;49; -   ;6024300000
9004786;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;80; -   ;200930000
9004786;1;2;16;Gmac Financiera De Colombia S.A.;8600293968;2;1;1;1;2;1;244; -   ;1011900000
9004786;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;311; -   ;506945000
9004786;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;333; -   ;3531500000
9004786;1;2;16;Banco Popular S.A.;8600077389;2;1;1;1;2;1;157; -   ;3027090000
9004786;1;2;16;Banco Gnb Sudameris S.A.;8600507501;2;1;1;1;2;11;445; -   ;1005420000
9004786;1;2;16;Banco Corpbanca Colombia S.A;8909039370;2;1;1;1;2;11;921; -   ;994220000
9004786;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;557; -   ;2010620000
9004786;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;60; -   ;1002190000
9004786;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;72; -   ;503195000
9004786;1;2;16;Banco Av Villas S.A.;8600358275;2;1;1;1;2;1;26; -   ;2023140000
9004786;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;544; -   ;997950000
9004786;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;174; -   ;3026610000
9004786;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;130; -   ;2033080000
9004786;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;135; -   ;1008810000
9004786;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;509; -   ;3026610000
9004786;1;2;16;Banco Popular S.A.;8600077389;2;1;1;1;2;1;40; -   ;504940000
9004786;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;43; -   ;5131350000
9004786;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;2.911; -   ;2144180000
9004786;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;139; -   ;2017280000
9004786;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;624; -   ;2003840000
9004786;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;505; -   ;5030700000
9004786;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;638; -   ;999500000
9004786;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;441; -   ;1037360000
9004786;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;97; -   ;493265000
9004786;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;588; -   ;2606026370.79
9004786;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;588; -   ;1954519778.09
9004786;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;588; -   ;2606026370.79
9004786;2;2;0;Banco De Bogota S.A.;8600029644;0;0;0;0;0;0;1; -   ;1286794
9004786;2;2;0;Banco De Bogota S.A.;8600029644;0;0;0;0;0;0;1; -   ;18630869028.22
9004786;2;2;0;Banco De Bogota S.A.;8600029644;0;0;0;0;0;0;1; -   ;11446433.27
9004786;2;2;0;Banco Popular S.A.;8600077389;0;0;0;0;0;0;1; -   ;15541422.59
9004786;2;2;0;Banco Popular S.A.;8600077389;0;0;0;0;0;0;1; -   ;12050122717.08
9004786;2;2;0;Banco Popular S.A.;8600077389;0;0;0;0;0;0;1; -   ;500000
9004786;2;2;0;Bancolombia S.A.;8909039388;0;0;0;0;0;0;1; -   ;980604.68
9004786;2;2;0;Bancolombia S.A.;8909039388;0;0;0;0;0;0;1; -   ;256231095.63
9004786;2;2;0;Bancolombia S.A.;8909039388;0;0;0;0;0;0;1; -   ;12565625.9
9004786;2;2;0;Bancolombia S.A.;8909039388;0;0;0;0;0;0;1; -   ;1604571.15
9004786;2;2;0;Citibank Colombia S.A.;8600511354;0;0;0;0;0;0;1; -   ;352497.55
9004786;2;2;0;Citibank Colombia S.A.;8600511354;0;0;0;0;0;0; -   ; -   ;48527931.16
9004786;2;2;0;Banco Gnb Sudameris S.A.;8600507501;0;0;0;0;0;0; -   ; -   ;2181354.45
9004786;2;2;0;Banco Gnb Sudameris S.A.;8600507501;0;0;0;0;0;0; -   ; -   ;291106569.42
9004786;2;2;0;Banco Gnb Sudameris S.A.;8600507501;0;0;0;0;0;0; -   ; -   ;2155387300.01
9004786;2;2;0;Bbva Colombia S.A.;8600030201;0;0;0;0;0;0; -   ; -   ;800521214.05
9004786;2;2;0;Bbva Colombia S.A.;8600030201;0;0;0;0;0;0; -   ; -   ;8516761.19
9004786;2;2;0;Bbva Colombia S.A.;8600030201;0;0;0;0;0;0; -   ; -   ;177103.27
9004786;2;2;0;Helm Bank;8600076603;0;0;0;0;0;0; -   ; -   ;35606340
9004786;2;2;0;Helm Bank;8600076603;0;0;0;0;0;0; -   ; -   ;143249916.99
9004786;2;2;0;Banco Colpatria Multibanca Colpatria S.A.;8600345941;0;0;0;0;0;0; -   ; -   ;5624776.97
9004786;2;2;0;Banco Colpatria Multibanca Colpatria S.A.;8600345941;0;0;0;0;0;0; -   ; -   ;570529.52
9004786;2;2;0;Banco Colpatria Multibanca Colpatria S.A.;8600345941;0;0;0;0;0;0; -   ; -   ;52555703.99
9004786;2;2;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0; -   ; -   ;48135371.29
9004786;2;2;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0; -   ; -   ;48996334.28
9004786;2;2;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0; -   ; -   ;596466
9004786;2;2;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0; -   ; -   ;9031378.16
9004786;2;2;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0; -   ; -   ;7309725
9004786;2;2;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0; -   ; -   ;1309013908.99
9004786;2;2;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0; -   ; -   ;1791764064.85
9004786;2;2;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0; -   ; -   ;4124424.21
9004786;2;2;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0; -   ; -   ;38544824.63
9004786;2;1;0;Banco Agrario De Colombia S.A;8000378008;0;0;0;0;0;0; -   ; -   ;10528158
9004786;2;1;0;Banco Agrario De Colombia S.A;8000378008;0;0;0;0;0;0; -   ; -   ;1029421
9004786;2;1;0;Banco Agrario De Colombia S.A;8000378008;0;0;0;0;0;0; -   ; -   ;6358471.7
9004786;2;1;0;Banco Agrario De Colombia S.A;8000378008;0;0;0;0;0;0; -   ; -   ;10422853.53
9004786;2;1;0;Banco Agrario De Colombia S.A;8000378008;0;0;0;0;0;0; -   ; -   ;5463225.38
9004786;2;1;0;Banco Agrario De Colombia S.A;8000378008;0;0;0;0;0;0; -   ; -   ;1534555159.39
9004786;2;1;0;Banco Agrario De Colombia S.A;8000378008;0;0;0;0;0;0; -   ; -   ;106414872.03
9004786;2;1;0;Banco Agrario De Colombia S.A;8000378008;0;0;0;0;0;0; -   ; -   ;14506115.28
9004786;2;1;0;Banco Agrario De Colombia S.A;8000378008;0;0;0;0;0;0; -   ; -   ;14840372.01
9004786;2;1;0;Banco Agrario De Colombia S.A;8000378008;0;0;0;0;0;0; -   ; -   ;1802
9004786;2;1;0;Banco Agrario De Colombia S.A;8000378008;0;0;0;0;0;0; -   ; -   ;55983673
9004786;2;2;0;Banco Davivienda S.A.;8600343137;0;0;0;0;0;0; -   ; -   ;1099326
9004786;2;2;0;Banco Davivienda S.A.;8600343137;0;0;0;0;0;0; -   ; -   ;787427795.2
9004786;2;2;0;Banco Davivienda S.A.;8600343137;0;0;0;0;0;0; -   ; -   ;1662770672.01
9004786;2;2;0;Banco Av Villas S.A.;8600358275;0;0;0;0;0;0; -   ; -   ;831425.6
9004786;2;2;0;Banco Av Villas S.A.;8600358275;0;0;0;0;0;0; -   ; -   ;90656707.92
9004786;2;2;0;Banco Av Villas S.A.;8600358275;0;0;0;0;0;0; -   ; -   ;3619062.3
9004786;2;2;0;Banco Colmena S.A.;8600387177;0;0;0;0;0;0; -   ; -   ;249025935.45
9004786;2;2;0;Banco Colmena S.A.;8600387177;0;0;0;0;0;0; -   ; -   ;595969.83
9004786;2;2;0;Banco Pichincha S.A.;8902007567;0;0;0;0;0;0; -   ; -   ;4766397.94
9004786;2;2;0;Banco Pichincha S.A.;8902007567;0;0;0;0;0;0; -   ; -   ;1213488.2
9004786;2;2;0;Banco Santander De Negocios Colombia S.A.;9006281103;0;0;0;0;0;0; -   ; -   ;7811830454.52
9004786;2;2;0;Corporacion Financiera Colombiana S.A.;8903006536;0;0;0;0;0;0; -   ; -   ;3.69
9004786;2;2;0;Fiduagraria Sebra - Fco;2001;0;0;0;0;0;0; -   ; -   ;1289336.49
