ID;TIPO DE ACTIVO;VINCULADO;TIPO TITULO;EMISOR;NIT;TIPO DE INVERSION ;TIEPO REGISTRO;SISTEMA TRANSACCIONAL;TIPO MONEDA;TIPO SECTOR;CALIFICACION;DIAS AL VTO;DURACION ;VPN;NEMO;ISIN
51515151;;;;;;;;;;;;;;503310000;CDTBBO90;COB01CD00Y96
51515151;;;;;;;;;;;;;;999530000;CDTBBO80;COB01CD01JK4
51515151;;;;;;;;;;;;;;3053970000;CDTBBO90;COB01CD01CG7
51515151;;;;;;;;;;;;;;15329550000;CDTBBO90;COB01CD02WQ2
51515151;;;;;;;;;;;;;;2044360000;CDTBBO90;COB01CD02WU4
51515151;;;;;;;;;;;;;;5006100000;CDTBBO80;COB01CD95743
51515151;;;;;;;;;;;;;;5015900000;CDTBBO80;COB01CD00AS8
51515151;;;;;;;;;;;;;;3037830000;CDTBBOS0V;COB01CD037Q2
51515151;;;;;;;;;;;;;;2031420000;CDTBPO90;COB02CD11888
51515151;;;;;;;;;;;;;;5211700000;CDTBPOS0V;COB02CD11565
51515151;;;;;;;;;;;;;;2564650000;CDTBPOS0V;COB02CD13074
51515151;;;;;;;;;;;;;;10352900000;CDTBPO90;COB02CD10799
51515151;;;;;;;;;;;;;;5145150000;CDTBSAS0V;COB06CD0GWN1
51515151;;;;;;;;;;;;;;10048800000;CDTBSAS0V;COB06CD0MTJ3
51515151;;;;;;;;;;;;;;1018210000;CDTBCB90DP;COB07CD83621
51515151;;;;;;;;;;;;;;2528700000;CDTBCB90DP;COB07CD00DD1
51515151;;;;;;;;;;;;;;3030270000;CDTBCB90DP;COB07CD78118
51515151;;;;;;;;;;;;;;987730000;CDTBCBS0V;COB07CD92192
51515151;;;;;;;;;;;;;;1000150000;CDTBCBS0V;COB07CD96011
51515151;;;;;;;;;;;;;;7081060000;CDTBCBS0V;COB07CD28907
51515151;;;;;;;;;;;;;;4017440000;CDTBCBS0V;COB07CD90709
51515151;;;;;;;;;;;;;;3515260000;CDTBCBS0V;COB07CD90709
51515151;;;;;;;;;;;;;;2872595000;CDTBGAS0V;COB13CD32659
51515151;;;;;;;;;;;;;;10030400000;CDTBGAS0V;COB13CD30539
51515151;;;;;;;;;;;;;;1976200000;CDTBGAS0V;COB13CD30406
51515151;;;;;;;;;;;;;;1501875000;CDTBGAS0V;COB13CD30836
51515151;;;;;;;;;;;;;;5029650000;CDTBGA80;COB13CD49380
51515151;;;;;;;;;;;;;;5028150000;CDTBGA80;COB13CD49646
51515151;;;;;;;;;;;;;;996850000;CDTCLPS0V;COB19CD83246
51515151;;;;;;;;;;;;;;987510000;CDTCLPS0V;COB19CD90043
51515151;;;;;;;;;;;;;;1490955000;CDTCLPS0V;COB19CD00UN9
51515151;;;;;;;;;;;;;;1000130000;CDTCLPS0V;COB19CD43083
51515151;;;;;;;;;;;;;;2993910000;CDTBOC80P;COB23CD32062
51515151;;;;;;;;;;;;;;2009540000;CDTBCX80;COB31CD04411
51515151;;;;;;;;;;;;;;10178100000;CDTCAGS0V;COB40CD03604
51515151;;;;;;;;;;;;;;10036300000;CDTCAGS0V;COB40CD04164
51515151;;;;;;;;;;;;;;10036200000;CDTCAG80;COB40CD04156
51515151;;;;;;;;;;;;;;2047260000;CDTDVI95;COB51CD80120
51515151;;;;;;;;;;;;;;2986680000;CDTDVIS0V;COB51CD83843
51515151;;;;;;;;;;;;;;2001460000;CDTDVI80;COB51CD72085
51515151;;;;;;;;;;;;;;2020760000;CDTDVI95;COB51CD88412
51515151;;;;;;;;;;;;;;2013260000;CDTDVI80;COB51CD91523
51515151;;;;;;;;;;;;;;2003000000;CDTDVI80;COB51CD90970
51515151;;;;;;;;;;;;;;5979360000;CDTDVIS0V;COB51CD79338
51515151;;;;;;;;;;;;;;1003270000;CDTCLP80;COB19CD43067
51515151;;;;;;;;;;;;;;1515435000;CDTCLPS0V;COB19CD46508
51515151;;;;;;;;;;;;;;996850000;CDTCLPS0V;COB19CD83246
51515151;;;;;;;;;;;;;;5021250000;CDTCLP80;COB19CD05OG5
51515151;;;;;;;;;;;;;;1003270000;CDTCLP80;COB19CD43067
51515151;;;;;;;;;;;;;;2000180000;CDTLVS80;COB52CD33507
51515151;;;;;;;;;;;;;;5056800000;CDTLVSS0V;COB52CD38027
51515151;;;;;;;;;;;;;;1005910000;CDTFDT80;COL06CD08371
51515151;;;;;;;;;;;;;;5002600000;CDTFDT80;COL06CD09304
51515151;;;;;;;;;;;;;;4024720000;CDTFDT80;COL06CD09635
51515151;;;;;;;;;;;;;;6055320000;CDTBOCS0V;COB23CD37913
51515151;;;;;;;;;;;;;;967250000;BDVI0815SF36;COB51CB00569
51515151;;;;;;;;;;;;;;3031530000;CDTDVIS0V;COB51CD97439
51515151;;;;;;;;;;;;;;1009480000;CDTDVIS0V;COB51CD97660
51515151;;;;;;;;;;;;;;519005000;CDTLGC90;COJ49CD37531
51515151;;;;;;;;;;;;;;5142500000;CDTFDT90P;COL06CD05336
51515151;;;;;;;;;;;;;;77601158;TFIT02010716;COL17CT03052
51515151;;;;;;;;;;;;;;512315000;TFIT06110919;COL17CT03011
51515151;;;;;;;;;;;;;;512315000;TFIT06110919;COL17CT03011
51515151;;;;;;;;;;;;;;2305417500;TFIT06110919;COL17CT03011
51515151;;;;;;;;;;;;;;3330047500;TFIT06110919;COL17CT03011
71717171;;;;;;;;;;;;;;5034700000;CDTBBO10;COB01CD00BR8
71717171;;;;;;;;;;;;;;5041550000;CDTBBO10;COB01CD00A86
71717171;;;;;;;;;;;;;;504045000;CDTBBO10;COB01CD00AI9
71717171;;;;;;;;;;;;;;2054980000;CDTBBO90;COB01CD00ND3
71717171;;;;;;;;;;;;;;4027320000;CDTBBO90;COB01CD00Z87
71717171;;;;;;;;;;;;;;10230300000;CDTBBO90;COB01CD016S2
71717171;;;;;;;;;;;;;;1532625000;CDTBBO90;COB01CD019E6
71717171;;;;;;;;;;;;;;7996240000;CDTBBO80;COB01CD01JK4
71717171;;;;;;;;;;;;;;499265000;CDTBBO80;COB01CD01KM8
71717171;;;;;;;;;;;;;;501455000;CDTBBO80;COB01CD01LD5
71717171;;;;;;;;;;;;;;498505000;CDTBBOS0V;COB01CD01RG5
71717171;;;;;;;;;;;;;;2993340000;CDTBBO80;COB01CD01SZ3
71717171;;;;;;;;;;;;;;4496535000;CDTBBO80;COB01CD00JR1
71717171;;;;;;;;;;;;;;3094950000;CDTBBO90;COB01CD00KO6
71717171;;;;;;;;;;;;;;3069180000;CDTBBO90;COB01CD017B6
71717171;;;;;;;;;;;;;;6964580000;CDTBBO80;COB01CD026Z6
71717171;;;;;;;;;;;;;;5112500000;CDTBBO90;COB01CD02W13
71717171;;;;;;;;;;;;;;1022450000;CDTBBO90;COB01CD02WN9
71717171;;;;;;;;;;;;;;5108500000;CDTBBO90;COB01CD02X38
71717171;;;;;;;;;;;;;;3060870000;CDTBBO90;COB01CD02Y94
71717171;;;;;;;;;;;;;;10195400000;CDTBBO90;COB01CD02YQ8
71717171;;;;;;;;;;;;;;1002860000;CDTBBO80;COB01CD030Q7
71717171;;;;;;;;;;;;;;5008500000;CDTBBO80;COB01CD032P5
71717171;;;;;;;;;;;;;;18226980000;CDTBBOS0V;COB01CD037Q2
71717171;;;;;;;;;;;;;;10157100000;CDTBPO90;COB02CD11888
71717171;;;;;;;;;;;;;;17524325000;CDTBPO80;COB02CD11755
71717171;;;;;;;;;;;;;;10352900000;CDTBPO90;COB02CD10799
71717171;;;;;;;;;;;;;;16181440000;CDTBSAS0V;COB06CD0LY51
71717171;;;;;;;;;;;;;;5535310000;CDTBSAS0V;COB06CD07SM7
71717171;;;;;;;;;;;;;;1523625000;CDTBCB90DP;COB07CD84124
71717171;;;;;;;;;;;;;;1022870000;CDTBCB90DP;COB07CD74976
71717171;;;;;;;;;;;;;;2536125000;CDTBCB90DP;COB07CD77094
71717171;;;;;;;;;;;;;;1018210000;CDTBCB90DP;COB07CD83621
71717171;;;;;;;;;;;;;;2025340000;CDTBCB90DP;COB07CD77789
71717171;;;;;;;;;;;;;;2077100000;CDTBCB90DP;COB07CD39037
71717171;;;;;;;;;;;;;;10114800000;CDTBCB90DP;COB07CD00DD1
71717171;;;;;;;;;;;;;;1515135000;CDTBCB90DP;COB07CD78118
71717171;;;;;;;;;;;;;;1975460000;CDTBCBS0V;COB07CD92192
71717171;;;;;;;;;;;;;;992260000;CDTBCBS0V;COB07CD90758
71717171;;;;;;;;;;;;;;1027750000;CDTBCB90DP;COB07CD33881
71717171;;;;;;;;;;;;;;7691760000;CDTBCBS0V;COB07CD93539
71717171;;;;;;;;;;;;;;1921000000;CDTBCBS0V;COB07CD93703
71717171;;;;;;;;;;;;;;502180000;CDTBCBS0V;COB07CD90709
71717171;;;;;;;;;;;;;;480250000;CDTBCBS0V;COB07CD93703
71717171;;;;;;;;;;;;;;1996460000;CDTBGAS0V;COB13CD33780
71717171;;;;;;;;;;;;;;2994000000;CDTBGAS0V;COB13CD33897
71717171;;;;;;;;;;;;;;989120000;CDTBGAS0V;COB13CD36999
71717171;;;;;;;;;;;;;;2965320000;CDTBGAS0V;COB13CD36965
71717171;;;;;;;;;;;;;;1017530000;CDTBGA95V;COB13CD16215
71717171;;;;;;;;;;;;;;14812350000;CDTBGAS0V;COB13CD37104
71717171;;;;;;;;;;;;;;992990000;CDTBGAS0V;COB13CD34416
71717171;;;;;;;;;;;;;;987270000;CDTBGAS0V;COB13CD39209
71717171;;;;;;;;;;;;;;2016400000;CDTBGA80;COB13CD51659
71717171;;;;;;;;;;;;;;5070450000;CDTBGA10;COB13CD53465
71717171;;;;;;;;;;;;;;1014090000;CDTBGA10;COB13CD53465
71717171;;;;;;;;;;;;;;6687730000;CDTBGAS0V;COB13CD42328
71717171;;;;;;;;;;;;;;996680000;CDTCLPS0V;COB19CD56903
71717171;;;;;;;;;;;;;;9815000000;CDTCLPS0V;COB19CD00UQ2
71717171;;;;;;;;;;;;;;2493625000;CDTCLPS0V;COB19CD03IX7
71717171;;;;;;;;;;;;;;4013280000;CDTCLPS0V;COB19CD63099
71717171;;;;;;;;;;;;;;10064900000;CDTCLP80;COB19CD04QM1
71717171;;;;;;;;;;;;;;1481265000;CDTCLPS0V;COB19CD90043
71717171;;;;;;;;;;;;;;1978500000;CDTCLPS0V;COB19CD88138
71717171;;;;;;;;;;;;;;497850000;CDTCLPS0V;COB19CD83444
71717171;;;;;;;;;;;;;;2005940000;CDTCLP80;COB19CD05U61
71717171;;;;;;;;;;;;;;2484350000;CDTCLPS0V;COB19CD59246
71717171;;;;;;;;;;;;;;4508415000;CDTCLPS0V;COB19CD87858
71717171;;;;;;;;;;;;;;6008460000;CDTBOC80P;COB23CD31718
71717171;;;;;;;;;;;;;;10006600000;CDTBOC80P;COB23CD32500
71717171;;;;;;;;;;;;;;3926920000;CDTBOCS0V;COB23CD32484
71717171;;;;;;;;;;;;;;6484530000;CDTBOC80P;COB23CD32807
71717171;;;;;;;;;;;;;;988870000;CDTBOCS0V;COB23CD31973
71717171;;;;;;;;;;;;;;1963460000;CDTBOCS0V;COB23CD32484
71717171;;;;;;;;;;;;;;5010350000;CDTBOC80P;COB23CD31700
71717171;;;;;;;;;;;;;;15181500000;CDTBOCS0V;COB23CD37582
71717171;;;;;;;;;;;;;;2023700000;CDTBOCS0V;COB23CD37632
71717171;;;;;;;;;;;;;;25239250000;CDTBOCS0V;COB23CD37905
71717171;;;;;;;;;;;;;;20184400000;CDTBOCS0V;COB23CD37913
71717171;;;;;;;;;;;;;;1502235000;CDTBCX80;COB31CD05137
71717171;;;;;;;;;;;;;;10012500000;CDTBCX80;COB31CD05145
71717171;;;;;;;;;;;;;;10030200000;CDTBCX80;COB31CD05335
71717171;;;;;;;;;;;;;;10178100000;CDTCAGS0V;COB40CD03604
71717171;;;;;;;;;;;;;;2016940000;CDTBSNS0V;COB65CD00110
71717171;;;;;;;;;;;;;;10006700000;CDTDVIS0V;COB51CD73836
71717171;;;;;;;;;;;;;;7240170000;CDTDVI95;COB51CD75633
71717171;;;;;;;;;;;;;;9306630000;CDTDVI95;COB51CD75740
71717171;;;;;;;;;;;;;;5160500000;CDTDVI95;COB51CD76250
71717171;;;;;;;;;;;;;;2989110000;CDTDVIS0V;COB51CD77555
71717171;;;;;;;;;;;;;;10236300000;CDTDVI95;COB51CD80120
71717171;;;;;;;;;;;;;;5092350000;CDTDVI95;COB51CD81136
71717171;;;;;;;;;;;;;;2004620000;CDTDVIS0V;COB51CD73455
71717171;;;;;;;;;;;;;;500910000;CDTDVI80;COB51CD72655
71717171;;;;;;;;;;;;;;9835800000;CDTDVIS0V;COB51CD83876
71717171;;;;;;;;;;;;;;2060760000;CDTDVI95;COB51CD76599
71717171;;;;;;;;;;;;;;2060520000;CDTDVI95;COB51CD76490
71717171;;;;;;;;;;;;;;4008280000;CDTDVI80;COB51CD82944
71717171;;;;;;;;;;;;;;12024840000;CDTDVI80;COB51CD82944
71717171;;;;;;;;;;;;;;3049290000;CDTDVI95;COB51CD90947
71717171;;;;;;;;;;;;;;2113923000;CDTDVI80;COB51CD91523
71717171;;;;;;;;;;;;;;9965600000;CDTDVIS0V;COB51CD79338
71717171;;;;;;;;;;;;;;5056700000;CDTDVIS0V;COB51CD97207
71717171;;;;;;;;;;;;;;3019260000;CDTDVIS0V;COB51CD79726
71717171;;;;;;;;;;;;;;2023700000;CDTDVIS0V;COB51CD97058
71717171;;;;;;;;;;;;;;1004470000;CDTDVIS0V;COB51CD75765
71717171;;;;;;;;;;;;;;1000130000;CDTCLPS0V;COB19CD43083
71717171;;;;;;;;;;;;;;1517205000;CDTCLPS0V;COB19CD63107
71717171;;;;;;;;;;;;;;500195000;CDTCLP80;COB19CD97865
71717171;;;;;;;;;;;;;;10875150000;CDTCLPS0V;COB19CD89219
71717171;;;;;;;;;;;;;;9886500000;CDTCLPS0V;COB19CD89219
71717171;;;;;;;;;;;;;;4943250000;CDTCLPS0V;COB19CD89219
71717171;;;;;;;;;;;;;;4494510000;CDTCLPS0V;COB19CD90423
71717171;;;;;;;;;;;;;;7500675000;CDTLVS80;COB52CD33507
71717171;;;;;;;;;;;;;;1012020000;CDTLVS90A;COB52CD34596
71717171;;;;;;;;;;;;;;10113300000;CDTLVSS0V;COB52CD38076
71717171;;;;;;;;;;;;;;1005910000;CDTFDT80;COL06CD08371
71717171;;;;;;;;;;;;;;509195000;CDTFDT90P;COL06CD05815
71717171;;;;;;;;;;;;;;2000780000;CDTFDT80;COL06CD08637
71717171;;;;;;;;;;;;;;1991460000;CDTFDT80;COL06CD08652
71717171;;;;;;;;;;;;;;507740000;CDTFDT90P;COL06CD02531
71717171;;;;;;;;;;;;;;503015000;CDTFDTS0V;COL06CD08819
71717171;;;;;;;;;;;;;;997920000;CDTFDT80;COL06CD09056
71717171;;;;;;;;;;;;;;1991040000;CDTFDT80;COL06CD08660
71717171;;;;;;;;;;;;;;3501820000;CDTFDT80;COL06CD09304
71717171;;;;;;;;;;;;;;16508580000;CDTFDT80;COL06CD09304
71717171;;;;;;;;;;;;;;1554765000;CDTFDT90P;COL06CD03984
71717171;;;;;;;;;;;;;;5006250000;CDTFDT80;COL06CD09932
71717171;;;;;;;;;;;;;;5005150000;CDTFDT80;COL06CD09965
71717171;;;;;;;;;;;;;;1002510000;CDTFDT80;COL06CD10104
71717171;;;;;;;;;;;;;;4027320000;CDTBBO90;COB01CD00Z87
71717171;;;;;;;;;;;;;;2031420000;CDTBPO90;COB02CD11888
71717171;;;;;;;;;;;;;;6068040000;CDTBSAS0V;COB06CD0LY51
71717171;;;;;;;;;;;;;;955190000;CDTBCBS0V;COB07CD95112
71717171;;;;;;;;;;;;;;1482045000;CDTBCBS0V;COB07CD003I5
71717171;;;;;;;;;;;;;;985660000;CDTBCBS0V;COB07CD96540
71717171;;;;;;;;;;;;;;1478490000;CDTBCBS0V;COB07CD96540
71717171;;;;;;;;;;;;;;1961260000;CDTCBCS0V;COB09CD15447
71717171;;;;;;;;;;;;;;2057380000;CDTCBC90;COB09CD15496
71717171;;;;;;;;;;;;;;1028690000;CDTCBC90;COB09CD15496
71717171;;;;;;;;;;;;;;988440000;CDTBGAS0V;COB13CD36965
71717171;;;;;;;;;;;;;;991200000;CDTBGAS0V;COB13CD27485
71717171;;;;;;;;;;;;;;994220000;CDTBGA80;COB13CD30216
71717171;;;;;;;;;;;;;;988190000;CDTBGAS0V;COB13CD38003
71717171;;;;;;;;;;;;;;955390000;CDTBGAS0V;COB13CD42328
71717171;;;;;;;;;;;;;;2944500000;CDTCLPS0V;COB19CD00UQ2
71717171;;;;;;;;;;;;;;6055320000;CDTBOCS0V;COB23CD37913
71717171;;;;;;;;;;;;;;967250000;BDVI0815SF36;COB51CB00569
71717171;;;;;;;;;;;;;;3031530000;CDTDVIS0V;COB51CD97439
71717171;;;;;;;;;;;;;;1009480000;CDTDVIS0V;COB51CD97660
71717171;;;;;;;;;;;;;;519005000;CDTLGC90;COJ49CD37531
71717171;;;;;;;;;;;;;;5142500000;CDTFDT90P;COL06CD05336
71717171;;;;;;;;;;;;;;77601158;TFIT02010716;COL17CT03052
71717171;;;;;;;;;;;;;;512315000;TFIT06110919;COL17CT03011
71717171;;;;;;;;;;;;;;512315000;TFIT06110919;COL17CT03011
71717171;;;;;;;;;;;;;;2305417500;TFIT06110919;COL17CT03011
71717171;;;;;;;;;;;;;;3330047500;TFIT06110919;COL17CT03011
91919191;;;;;;;;;;;;;;1536945000;TFIT06110919;COL17CT03011
91919191;;;;;;;;;;;;;;1280787500;TFIT06110919;COL17CT03011
91919191;;;;;;;;;;;;;;1024630000;TFIT06110919;COL17CT03011
91919191;;;;;;;;;;;;;;6147780000;TFIT06110919;COL17CT03011
91919191;;;;;;;;;;;;;;9990142500;TFIT06110919;COL17CT03011
91919191;;;;;;;;;;;;;;955390000;CDTBGAS0V;COB13CD42328
