ID;TIPO ACTIVO;VINCULADO O NO;TIPO TITULOS;EMISOR;NIT;TIPO INVERSION;TIPO REGISTRO;SISTEMA TRANSACCIONAL;TIPO MONEDA;TIPO SECTOR;CALIFICACION;DIAS AL VTO;DURACIÓN;VPN
9641;1;2;16;Banco Popular S.A.;8600077389;2;1;1;1;2;1;141;0;504535000
9641;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;54;0;508930000
9641;1;2;16;Banco Agrario De Colombia S.A;8000378008;2;1;1;1;2;1;210;0;506280000
9641;1;2;16;Banco Av Villas S.A.;8600358275;2;1;1;1;2;1;230;0;509190000
9641;1;2;16;Banco Procredit Colombia S.A.;9002009609;2;1;1;1;2;1;257;0;516785000
9641;1;2;16;Banco Corpbanca Colombia S.A;8909039370;2;1;1;1;2;1;443;0;502510000
9641;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;288;0;509205000
9641;1;2;3;Banco De Occidente S.A.;8903002794;2;1;1;1;2;1;318;0;988000000
9641;1;1;16;Corporacion Financiera Colombiana S.A.;8903006536;2;1;1;1;2;1;109;0;502495000
9641;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;1;30;0;500360000
9641;1;2;16;Helm Bank;8600076603;2;1;1;1;2;1;128;0;504235000
9641;1;2;16;Banco Corpbanca Colombia S.A;8909039370;2;1;1;1;2;1;230;0;503725000
9641;1;2;16;Banco Santander De Negocios Colombia S.A.;9006281103;2;1;1;1;2;1;415;0;504010000
9641;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;206;0;502625000
9641;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;501;0;503415000
9641;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;327;0;1004440000
9641;1;2;34;Bancolombia S.A.;8909039388;2;1;1;1;2;1;1;0;5822740
9641;1;2;37;Ecopetrol S.A.;8999990681;2;1;1;1;1;1;1;0;8093750
9641;1;2;34;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;1;0;9135000
9641;1;2;34;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;1;0;5336000
9641;1;2;34;Bancolombia S.A.;8909039388;2;1;1;1;2;1;1;0;10006920
9641;1;2;50;Fiduciaria Bogota S.A.;8001423837;2;1;1;1;2;1;1;0;24263893.8
9641;1;2;50;Fiduciaria Bogota S.A.;8001423837;2;1;1;1;2;1;1;0;564276.6
9641;1;2;37;Almacenes Exito S.A.;8909006089;2;1;1;1;1;1;1;0;5169120
9641;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;2;9;103;0;489750000
9641;2;2;0;Banco Av Villas S.A.;8600358275;0;0;0;0;0;0;0;0;1
9641;2;1;0;Corporacion Financiera Colombiana S.A.;8903006536;0;0;0;0;0;0;0;0;3557563
9641;2;2;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;0
9641;2;2;0;Banco De Bogota S.A.;8600029644;0;0;0;0;0;0;0;0;0
9641;2;2;0;Bancolombia S.A.;8909039388;0;0;0;0;0;0;0;0;0
9641;2;2;0;Bancolombia S.A.;8909039388;0;0;0;0;0;0;0;0;0
9641;2;2;0;Bancolombia S.A.;8909039388;0;0;0;0;0;0;0;0;0
9641;2;2;0;Bancolombia S.A.;8909039388;0;0;0;0;0;0;0;0;0
9641;2;2;0;Bancolombia S.A.;8909039388;0;0;0;0;0;0;0;0;0
9641;2;2;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;0
9641;2;2;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;0
9641;2;2;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;0
9641;2;2;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;0
9641;2;2;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;0
9641;2;2;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;0
9641;2;2;0;Citibank Colombia S.A.;8600511354;0;0;0;0;0;0;0;0;1832971.66
9641;2;2;0;Banco Corpbanca Colombia S.A;8909039370;0;0;0;0;0;0;0;0;1099370.38
9641;2;2;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;889129769.56
9641;2;2;0;Banco Corpbanca Colombia S.A;8909039370;0;0;0;0;0;0;0;0;198612.94
9641;2;2;0;Banco Av Villas S.A.;8600358275;0;0;0;0;0;0;0;0;356905148.57
9641;2;2;0;Banco De Bogota S.A.;8600029644;0;0;0;0;0;0;0;0;126400529.79
9641;2;2;0;Banco Corpbanca Colombia S.A;8909039370;0;0;0;0;0;0;0;0;698743020.93
9641;2;2;0;Bbva Colombia S.A.;8600030201;0;0;0;0;0;0;0;0;911616415.09
9641;2;2;0;Banco Colpatria Multibanca Colpatria S.A.;8600345941;0;0;0;0;0;0;0;0;280981262.78
9641;2;2;0;Citibank Colombia S.A.;8600511354;0;0;0;0;0;0;0;0;325687622.55
9641;2;2;0;Bbva Colombia S.A.;8600030201;0;0;0;0;0;0;0;0;0
9641;2;2;0;Banco De Bogota S.A.;8600029644;0;0;0;0;0;0;0;0;136882.21
9641;2;2;0;Banco Colpatria Multibanca Colpatria S.A.;8600345941;0;0;0;0;0;0;0;0;234993.41
9641;2;2;0;Citibank Colombia S.A.;8600511354;0;0;0;0;0;0;0;0;27340
9641;2;2;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;0
9641;2;2;0;Bancolombia S.A.;8909039388;0;0;0;0;0;0;0;0;0
9641;2;2;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;0
9641;2;2;0;Banco De Bogota S.A.;8600029644;0;0;0;0;0;0;0;0;5635725.37
9641;2;2;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;0
9641;2;2;0;Banco Av Villas S.A.;8600358275;0;0;0;0;0;0;0;0;2574512.14
9641;2;2;0;Bbva Colombia S.A.;8600030201;0;0;0;0;0;0;0;0;0
9641;2;2;0;Banco Colpatria Multibanca Colpatria S.A.;8600345941;0;0;0;0;0;0;0;0;2524766.32
9641;2;2;0;Bancolombia S.A.;8909039388;0;0;0;0;0;0;0;0;0
9641;2;2;0;Banco Av Villas S.A.;8600358275;0;0;0;0;0;0;0;0;24972.67
9641;2;1;0;Corporacion Financiera Colombiana S.A.;8903006536;0;0;0;0;0;0;0;0;1109285046.17
9641;2;2;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;6603669.53
9641;2;2;0;Bancolombia S.A.;8909039388;0;0;0;0;0;0;0;0;714569296.09
9644;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;236;0;1005690000
9644;1;2;3;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;256;0;1004780000
9644;1;2;3;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;256;0;1004780000
9644;1;2;3;Leasing Bancolombia S.A. C.F.;8600592943;2;1;1;1;2;1;325;0;575655500
9644;1;2;3;Leasing Bancolombia S.A. C.F.;8600592943;2;1;1;1;2;1;325;0;425484500
9644;1;2;16;Banco Gnb Sudameris S.A.;8600507501;2;1;1;1;2;1;107;0;501945000
9644;1;1;16;Corporacion Financiera Colombiana S.A.;8903006536;2;1;1;1;2;1;109;0;1004990000
9644;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;9;0;2010860000
9644;1;2;16;Banco Corpbanca Colombia S.A;8909039370;2;1;1;1;2;1;13;0;502290000
9644;1;2;16;Helm Bank;8600076603;2;1;1;1;2;1;128;0;504235000
9644;1;1;16;Corporacion Financiera Colombiana S.A.;8903006536;2;1;1;1;2;1;75;0;503505000
9644;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;192;0;504155000
9644;1;2;16;Banco Corpbanca Colombia S.A;8909039370;2;1;1;1;2;1;230;0;1007450000
9644;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;251;0;1010070000
9644;1;2;16;Banco Av Villas S.A.;8600358275;2;1;1;1;2;1;451;0;1005380000
9644;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;501;0;1006830000
9644;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;515;0;1000520000
9644;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;276;0;1011870000
9644;1;2;16;Banco Corpbanca Colombia S.A;8909039370;2;1;1;1;2;1;338;0;1007810000
9644;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;535;0;1003680000
9644;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;2;9;258;0;2490589403.82
9644;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;2;9;285;0;1416270000
9644;1;2;16;Bancolombia Panama S.A.;4444042541;2;1;1;3;2;1;146;0;1497244444.02
9644;1;2;16;Banco Corpbanca Colombia S.A;8909039370;2;1;1;1;2;1;134;0;515390000
9644;1;2;3;Leasing Bancolombia S.A. C.F.;8600592943;2;1;1;1;2;1;193;0;1034610000
9644;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;2;0;1019260000
9644;1;2;16;Banco Pichincha S.A.;8902007567;2;1;1;1;2;1;68;0;2011960000
9644;1;1;16;Corporacion Financiera Colombiana S.A.;8903006536;2;1;1;1;2;1;82;0;2986410000
9644;1;2;16;Banco Finandina S.A.;8600518946;2;1;1;1;2;1;88;0;995470000
9644;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;158;0;1014550000
9644;1;2;16;Helm Bank;8600076603;2;1;1;1;2;1;79;0;2004940000
9644;1;2;16;Banco Popular S.A.;8600077389;2;1;1;1;2;1;141;0;1009070000
9644;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;21;0;2042640000
9644;1;2;16;Banco Corpbanca Colombia S.A;8909039370;2;1;1;1;2;1;443;0;1005020000
9644;1;2;16;Banco Procredit Colombia S.A.;9002009609;2;1;1;1;2;1;274;0;514265000
9644;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;288;0;2036820000
9644;1;2;3;Banco De Occidente S.A.;8903002794;2;1;1;1;2;1;318;0;988000000
9644;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;472;0;510085000
9644;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;337;0;986300000
9644;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;181;0;3000090000
9644;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;2;9;2881;0;585965000
9644;2;2;0;Banco Caja Social;8600073354;0;0;0;0;0;0;0;0;1295000
9644;2;2;0;Banco Caja Social;8600073354;0;0;0;0;0;0;0;0;215256.05
9644;2;2;0;Banco Caja Social;8600073354;0;0;0;0;0;0;0;0;503769150.88
9644;2;2;0;Banco Santander De Negocios Colombia S.A.;9006281103;0;0;0;0;0;0;0;0;1055898351.26
9644;2;2;0;Banco Santander De Negocios Colombia S.A.;9006281103;0;0;0;0;0;0;0;0;30000
9644;2;2;0;Banco Santander De Negocios Colombia S.A.;9006281103;0;0;0;0;0;0;0;0;650000
9644;2;2;0;Bbva Colombia S.A.;8600030201;0;0;0;0;0;0;0;0;0
9644;2;1;0;Corporacion Financiera Colombiana S.A.;8903006536;0;0;0;0;0;0;0;0;457407
9644;2;2;0;Banco Av Villas S.A.;8600358275;0;0;0;0;0;0;0;0;1
9644;2;2;0;Banco Popular S.A.;8600077389;0;0;0;0;0;0;0;0;2423500
9644;2;2;0;Banco Popular S.A.;8600077389;0;0;0;0;0;0;0;0;3750550.26
9644;2;2;0;Banco Cooperativo Coopcentral;8902030889;0;0;0;0;0;0;0;0;9560
9644;2;2;0;Banco Cooperativo Coopcentral;8902030889;0;0;0;0;0;0;0;0;100150000
9644;2;2;0;Banco Popular S.A.;8600077389;0;0;0;0;0;0;0;0;2496081892.77
9644;2;2;0;Banco Agrario De Colombia S.A;8000378008;0;0;0;0;0;0;0;0;2053960
9644;2;2;0;Banco Agrario De Colombia S.A;8000378008;0;0;0;0;0;0;0;0;2100000
9644;2;2;0;Banco Agrario De Colombia S.A;8000378008;0;0;0;0;0;0;0;0;229312614
9644;2;2;0;Banco Cooperativo Coopcentral;8902030889;0;0;0;0;0;0;0;0;2768413813
9644;2;2;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;0
9644;2;2;0;Banco De Bogota S.A.;8600029644;0;0;0;0;0;0;0;0;0
9644;2;2;0;Banco Corpbanca Colombia S.A;8909039370;0;0;0;0;0;0;0;0;2743748.23
9644;2;2;0;Banco Corpbanca Colombia S.A;8909039370;0;0;0;0;0;0;0;0;1225794447.06
9644;2;2;0;Banco Corpbanca Colombia S.A;8909039370;0;0;0;0;0;0;0;0;245297
9644;2;2;0;Banco Av Villas S.A.;8600358275;0;0;0;0;0;0;0;0;1413036013.85
9644;2;2;0;Bancolombia S.A.;8909039388;0;0;0;0;0;0;0;0;0
9644;2;1;0;Corporacion Financiera Colombiana S.A.;8903006536;0;0;0;0;0;0;0;0;3042986218.95
9644;2;2;0;Banco Av Villas S.A.;8600358275;0;0;0;0;0;0;0;0;217000
9644;2;2;0;Bancolombia S.A.;8909039388;0;0;0;0;0;0;0;0;0
9644;2;2;0;Bancolombia S.A.;8909039388;0;0;0;0;0;0;0;0;0
9644;2;2;0;Banco Davivienda S.A.;8600343137;0;0;0;0;0;0;0;0;80289.89
9644;2;2;0;Banco Davivienda S.A.;8600343137;0;0;0;0;0;0;0;0;15682.68
9644;2;2;0;Banco Davivienda S.A.;8600343137;0;0;0;0;0;0;0;0;1124993504.63
9644;2;2;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;0
9644;2;2;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;0
9644;2;2;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;0
9644;2;2;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;0
9644;2;2;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;0
9644;2;2;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;0
9644;2;2;0;Citibank Colombia S.A.;8600511354;0;0;0;0;0;0;0;0;2081828.4
9644;2;2;0;Helm Bank;8600076603;0;0;0;0;0;0;0;0;5468830.14
9644;2;2;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;38447104.31
9644;2;2;0;Helm Bank;8600076603;0;0;0;0;0;0;0;0;324303.05
9644;2;2;0;Helm Bank;8600076603;0;0;0;0;0;0;0;0;209457726.32
9644;2;2;0;Bbva Colombia S.A.;8600030201;0;0;0;0;0;0;0;0;258052847.48
9644;2;2;0;Banco De Bogota S.A.;8600029644;0;0;0;0;0;0;0;0;8111228784.56
9644;2;2;0;Banco Colpatria Multibanca Colpatria S.A.;8600345941;0;0;0;0;0;0;0;0;203126612.4
9644;2;2;0;Citibank Colombia S.A.;8600511354;0;0;0;0;0;0;0;0;912429528.32
9644;2;2;0;Banco De Bogota S.A.;8600029644;0;0;0;0;0;0;0;0;622855.42
9644;2;2;0;Banco Colpatria Multibanca Colpatria S.A.;8600345941;0;0;0;0;0;0;0;0;263826.85
9644;2;2;0;Citibank Colombia S.A.;8600511354;0;0;0;0;0;0;0;0;0
9644;2;2;0;Bancolombia S.A.;8909039388;0;0;0;0;0;0;0;0;22156422801.23
9644;2;2;0;Banco Av Villas S.A.;8600358275;0;0;0;0;0;0;0;0;2162044.97
9644;2;2;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;0
9644;2;2;0;Banco Davivienda S.A.;8600343137;0;0;0;0;0;0;0;0;5608000
9644;2;2;0;Bbva Colombia S.A.;8600030201;0;0;0;0;0;0;0;0;0
9644;2;2;0;Banco De Bogota S.A.;8600029644;0;0;0;0;0;0;0;0;8582687.99
9644;2;2;0;Banco Colpatria Multibanca Colpatria S.A.;8600345941;0;0;0;0;0;0;0;0;1120542.48
9644;2;2;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;0
9644;2;2;0;Bancolombia S.A.;8909039388;0;0;0;0;0;0;0;0;0
9644;2;2;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;807746720.41
9644;2;2;0;Bancolombia S.A.;8909039388;0;0;0;0;0;0;0;0;500013630.13
9645;1;2;3;Leasing Bancolombia S.A. C.F.;8600592943;2;1;1;1;2;1;193;0;517305000
9645;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;54;0;508930000
9645;1;2;16;Banco Agrario De Colombia S.A;8000378008;2;1;1;1;2;1;210;0;506280000
9645;1;2;16;Banco Procredit Colombia S.A.;9002009609;2;1;1;1;2;1;257;0;516785000
9645;1;2;16;Banco Corpbanca Colombia S.A;8909039370;2;1;1;1;2;1;443;0;502510000
9645;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;313;0;505985000
9645;1;2;3;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;256;0;502390000
9645;1;1;16;Corporacion Financiera Colombiana S.A.;8903006536;2;1;1;1;2;1;109;0;502495000
9645;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;1;30;0;500360000
9645;1;2;16;Banco Corpbanca Colombia S.A;8909039370;2;1;1;1;2;1;230;0;503725000
9645;1;2;16;Banco Corpbanca Colombia S.A;8909039370;2;1;1;1;2;1;445;0;302259000
9645;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;206;0;502625000
9645;1;2;16;Banco Av Villas S.A.;8600358275;2;1;1;1;2;1;451;0;502690000
9645;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;2;9;103;0;489750000
9645;2;1;0;Corporacion Financiera Colombiana S.A.;8903006536;0;0;0;0;0;0;0;0;1007328
9645;2;2;0;Banco Caja Social;8600073354;0;0;0;0;0;0;0;0;173974811.48
9645;2;2;0;Bancolombia S.A.;8909039388;0;0;0;0;0;0;0;0;0
9645;2;1;0;Corporacion Financiera Colombiana S.A.;8903006536;0;0;0;0;0;0;0;0;375208122.18
9645;2;2;0;Bancolombia S.A.;8909039388;0;0;0;0;0;0;0;0;0
9645;2;2;0;Bancolombia S.A.;8909039388;0;0;0;0;0;0;0;0;0
9645;2;2;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;0
9645;2;2;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;0
9645;2;2;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;0
9645;2;2;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;0
9645;2;2;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;0
9645;2;2;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;0
9645;2;2;0;Banco Davivienda S.A.;8600343137;0;0;0;0;0;0;0;0;5032500
9645;2;2;0;Banco Gnb Sudameris S.A.;8600507501;0;0;0;0;0;0;0;0;0
9645;2;2;0;Citibank Colombia S.A.;8600511354;0;0;0;0;0;0;0;0;1633988.4
9645;2;2;0;Banco Davivienda S.A.;8600343137;0;0;0;0;0;0;0;0;288534.6
9645;2;2;0;Banco Davivienda S.A.;8600343137;0;0;0;0;0;0;0;0;295596.97
9645;2;2;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;844287755.43
9645;2;2;0;Banco Caja Social;8600073354;0;0;0;0;0;0;0;0;319958
9645;2;2;0;Banco Davivienda S.A.;8600343137;0;0;0;0;0;0;0;0;373787537.86
9645;2;2;0;Banco Av Villas S.A.;8600358275;0;0;0;0;0;0;0;0;290052817.38
9645;2;2;0;Banco Colpatria Multibanca Colpatria S.A.;8600345941;0;0;0;0;0;0;0;0;306659410.65
9645;2;2;0;Citibank Colombia S.A.;8600511354;0;0;0;0;0;0;0;0;392889981.31
9645;2;2;0;Banco De Bogota S.A.;8600029644;0;0;0;0;0;0;0;0;1472945492.95
9645;2;2;0;Banco Gnb Sudameris S.A.;8600507501;0;0;0;0;0;0;0;0;579846805.21
9645;2;2;0;Bbva Colombia S.A.;8600030201;0;0;0;0;0;0;0;0;0
9645;2;2;0;Banco De Bogota S.A.;8600029644;0;0;0;0;0;0;0;0;440302.6
9645;2;2;0;Banco Colpatria Multibanca Colpatria S.A.;8600345941;0;0;0;0;0;0;0;0;202925.38
9645;2;2;0;Banco Gnb Sudameris S.A.;8600507501;0;0;0;0;0;0;0;0;0
9645;2;2;0;Citibank Colombia S.A.;8600511354;0;0;0;0;0;0;0;0;2244535.11
9645;2;2;0;Bbva Colombia S.A.;8600030201;0;0;0;0;0;0;0;0;425297375.19
9645;2;2;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;0
9645;2;2;0;Banco Av Villas S.A.;8600358275;0;0;0;0;0;0;0;0;879818.03
9645;2;2;0;Bbva Colombia S.A.;8600030201;0;0;0;0;0;0;0;0;4499845
9645;2;2;0;Banco De Bogota S.A.;8600029644;0;0;0;0;0;0;0;0;6590001.23
9645;2;2;0;Banco Colpatria Multibanca Colpatria S.A.;8600345941;0;0;0;0;0;0;0;0;3445938.01
9645;2;2;0;Bancolombia S.A.;8909039388;0;0;0;0;0;0;0;0;0
9645;2;2;0;Banco Av Villas S.A.;8600358275;0;0;0;0;0;0;0;0;275000
9645;2;2;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;9899571.22
9645;2;2;0;Bancolombia S.A.;8909039388;0;0;0;0;0;0;0;0;127998996.01
9645;2;2;0;Banco Caja Social;8600073354;0;0;0;0;0;0;0;0;4241094.1
13174;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;2;9;12;0;997740000
13174;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;2;9;12;0;498870000
13174;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;2;9;285;0;2360450000
13174;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;2;9;811;0;3506475000
13174;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;532;0;510655000
13174;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;167;0;1022310000
13174;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;167;0;511205000
13174;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;241;0;516055000
13174;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;2;0;3057780000
13174;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;155;0;2030600000
13174;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;22;0;1021100000
13174;1;2;16;Banco Popular S.A.;8600077389;2;1;1;1;2;1;45;0;1016850000
13174;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;258;0;3082410000
13174;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;288;0;1018410000
13174;1;2;16;Banco Gnb Sudameris S.A.;8600507501;2;1;1;1;2;1;47;0;2018820000
13174;1;2;16;Banco Gnb Sudameris S.A.;8600507501;2;1;1;1;2;1;78;0;3028740000
13174;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;236;0;2011380000
13174;1;2;16;Banco Popular S.A.;8600077389;2;1;1;1;2;1;80;0;1004460000
13174;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;134;0;3021870000
13174;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;139;0;503110000
13174;1;2;16;Banco Popular S.A.;8600077389;2;1;1;1;2;1;80;0;1004460000
13174;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;251;0;1010070000
13174;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;4;0;1006260000
13174;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;85;0;501050000
13174;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;504;0;502695000
13174;1;2;16;Banco De Occidente S.A.;8903002794;2;1;1;1;2;1;53;0;2004580000
13174;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;338;0;3024870000
13174;1;2;16;Banco Corpbanca Colombia S.A;8909039370;2;1;1;1;2;1;522;0;1006390000
13174;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;536;0;501715000
13174;2;2;0;Banco Pichincha S.A.;8902007567;0;0;0;0;0;0;0;0;1154459410.34
13174;2;2;0;Banco Pichincha S.A.;8902007567;0;0;0;0;0;0;0;0;3167000
13174;2;2;0;Banco Pichincha S.A.;8902007567;0;0;0;0;0;0;0;0;53205957
13174;2;2;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;0
13174;2;2;0;Banco Santander De Negocios Colombia S.A.;9006281103;0;0;0;0;0;0;0;0;1526650903.35
