COD;TIPO ACTIVO;VINCULADO O NO;TIPÒ TITULO;EMISOR;NIT;TIPO INVERSION;TIPO REGISTRO;SISTEMA TRANSACCIONAL;TIPO MONEDA;TIPO SECTOR;CALIFICACION;DIAS AL VTO;DURACIÓN ;VPN
9011286;1;2;16;Banco Finandina S.A.;8600518946;2;1;1;1;2;6;155;0;504185000,00
9011286;1;2;16;Banco Finandina S.A.;8600518946;2;1;1;1;2;6;158;0;503520000,00
9011286;1;2;3;Banco Wwb S.A.;9003782122;2;1;1;1;2;4;129;0;4016480000,00
9011286;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;4;8;0;1014610000,00
9011286;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;6;159;0;1004140000,00
9011286;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;6;156;0;1992760000,00
9011286;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;6;175;0;997190000,00
9011286;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;6;173;0;1996080000,00
9011286;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;4;308;0;956110000,00
9011286;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;4;195;0;1994460000,00
9011286;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;6;14;0;2014320000,00
9011286;1;2;16;Banco De Comercio Ext. De Colombia S.A. Bancoldex;8001499236;2;1;1;1;2;4;57;0;3011010000,00
9011286;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;4;245;0;997660000,00
9011286;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;6;347;0;962840000,00
9011286;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;4;199;0;1985860000,00
9011286;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;6;239;0;2490400000,00
9011286;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;4;322;0;1523355000,00
9011286;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;4;328;0;4053040000,00
9011286;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;4;198;0;2483325000,00
9011286;1;2;16;Banco De Occidente S.A.;8903002794;2;1;1;1;2;4;259;0;4962650000,00
9011286;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;61;0;9804200000,00
9011286;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;4;351;0;2034280000,00
9011286;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;579;0;3549956405,60
9011286;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;579;0;3549956405,60
9011286;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;4;345;0;1019840000,00
9011286;1;2;16;Banco Gnb Sudameris S.A.;8600507501;2;1;1;1;2;4;344;0;4467825000,00
9011286;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;6;70;0;1005530000,00
9011286;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;4;373;0;5670000000,00
9011286;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;4;197;0;3082860000,00
9011286;1;2;16;Banco Finandina S.A.;8600518946;2;1;1;1;2;11;437;0;4989900000,00
9011286;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;4;23;0;2012840000,00
9011286;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;4;285;0;5194300000,00
9011286;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;4;295;0;5168500000,00
9011286;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;6;377;0;5112600000,00
9011286;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;416;0;2067480000,00
9011286;1;2;16;Banco De Occidente S.A.;8903002794;2;1;1;1;2;1;388;0;5200200000,00
9011286;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;434;0;4994350000,00
9011286;1;2;16;Banco Av Villas S.A.;8600358275;2;1;1;1;2;4;345;0;5013250000,00
9011286;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;4;259;0;5043950000,00
9011286;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;4;303;0;3027630000,00
9011286;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;492;0;1026930000,00
9011286;1;2;16;Banco De Occidente S.A.;8903002794;2;1;1;1;2;1;420;0;4636500000,00
9011286;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;4;97;0;3072990000,00
9011286;1;2;16;Banco Itaú S.A;8909039370;2;1;1;1;2;6;224;0;1998980000,00
9011286;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;6;37;0;2021960000,00
9011286;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;4;39;0;1010630000,00
9011286;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;4;61;0;5088250000,00
9011286;1;2;16;Banco Av Villas S.A.;8600358275;2;1;1;1;2;4;94;0;5151750000,00
9011286;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;4;111;0;993020000,00
9011286;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;4;118;0;986050000,00
9011286;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;4;167;0;5074550000,00
9011286;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;4;217;0;1436910000,00
9011286;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;4;207;0;511595000,00
9011286;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;4;198;0;993330000,00
9011286;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;4;123;0;1550670000,00
9011286;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;4;143;0;988700000,00
9011286;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;4;197;0;996420000,00
9011286;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;6;100;0;2044860000,00
9011286;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;4;204;0;502965000,00
9011286;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;6;134;0;503400000,00
9011286;1;2;16;Banco Av Villas S.A.;8600358275;2;1;1;1;2;4;146;0;5014950000,00
9011286;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;4;261;0;3518690000,00
9011286;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;4;200;0;3539375000,00
9011286;1;2;16;Banco Itaú S.A;8909039370;2;1;1;1;2;6;241;0;499625000,00
9011286;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;434;0;457145000,00
9011286;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;1;391;0;464080000,00
9011286;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;1;433;0;4911000000,00
9011286;1;2;16;Banco Itaú S.A;8909039370;2;1;1;1;2;11;408;0;4668075000,00
9011286;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;4;283;0;4759500000,00
9011286;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;409;0;4145840000,00
9011286;1;2;16;Banco Santander De Negocios Colombia S.A.;9006281103;2;1;1;1;2;6;211;0;2999010000,00
9011286;2;2;0;Bbva Colombia S.A.;8600030201;0;0;0;0;0;0;0;0;1351059900,74
9011286;2;2;0;Banco Agrario De Colombia S.A;8000378008;0;0;0;0;0;0;0;0;250703608,59
9011286;2;2;0;Banco Av Villas S.A.;8600358275;0;0;0;0;0;0;0;0;1805989011,21
9011286;2;2;0;Banco Caja Social;8600073354;0;0;0;0;0;0;0;0;1445874888,13
9011286;2;2;0;Banco Colpatria Multibanca Colpatria S.A.;8600345941;0;0;0;0;0;0;0;0;2927706622,72
9011286;2;2;0;Banco Davivienda S.A.;8600343137;0;0;0;0;0;0;0;0;21668120926,21
9011286;2;2;0;Banco De Bogota S.A.;8600029644;0;0;0;0;0;0;0;0;1620394358,35
9011286;2;2;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;33719175856,91
9011286;2;2;0;Banco Gnb Sudameris S.A.;8600507501;0;0;0;0;0;0;0;0;8406360873,37
9011286;2;1;0;Banco Popular S.A.;8600077389;0;0;0;0;0;0;0;0;26554012221,19
9011286;2;2;0;Banco Itaú S.A;8909039370;0;0;0;0;0;0;0;0;1512144419,51
9011286;2;2;0;Bancolombia S.A.;8909039388;0;0;0;0;0;0;0;0;21897938116,78
9011286;2;2;0;Citibank Colombia S.A.;8600511354;0;0;0;0;0;0;0;0;146059537,43
9011286;2;2;0;Banco De Comercio Ext. De Colombia S.A. Bancoldex;8001499236;0;0;0;0;0;0;0;0;177454345,19
9011286;2;2;0;Banco Falabella S.A.;9000479818;0;0;0;0;0;0;0;0;113096400,86
9011286;2;2;0;Banco Cooperativo Coopcentral;8902030889;0;0;0;0;0;0;0;0;228103856,74
9011286;2;2;0;Banco Coomeva S.A. Bancoomeva;9004061505;0;0;0;0;0;0;0;0;6495792996,59
9011286;2;2;0;Banco Mundo Mujer;9007689337;0;0;0;0;0;0;0;0;256391696,82
9011286;2;2;0;Banco Santander De Negocios Colombia S.A.;9006281103;0;0;0;0;0;0;0;0;22388531677,32
9011286;2;2;0;Banco Wwb S.A.;9003782122;0;0;0;0;0;0;0;0;136711453,28
9011286;2;2;0;Giros Y Finanzas Cia De Financiamiento Comercial;8600067979;0;0;0;0;0;0;0;0;5172455839,77
9011356;1;2;16;Banco Av Villas S.A.;8600358275;2;1;1;1;2;4;21;0;3052800000,00
9011356;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;6;434;0;4994350000,00
9011356;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;4;179;0;967080000,00
9011356;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;4;179;0;1934160000,00
9011356;1;2;16;Banco Itaú S.A;8909039370;2;1;1;1;2;6;32;0;1026930000,00
9011356;1;2;16;Banco De Occidente S.A.;8903002794;2;1;1;1;2;1;125;0;1989140000,00
9011356;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;1;7;0;2019580000,00
9011356;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;1;7;0;3029370000,00
9011356;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;1;14;0;2014380000,00
9011356;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;4;210;0;2989590000,00
9011356;1;2;16;Banco Itaú S.A;8909039370;2;1;1;1;2;6;241;0;1998500000,00
9011356;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;4;114;0;2963580000,00
9011356;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;4;61;0;6105900000,00
9011356;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;4;42;0;2053320000,00
9011356;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;6;43;0;4105480000,00
9011356;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;68;0;4066480000,00
9011356;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;4;136;0;1018450000,00
9011356;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;4;121;0;1969720000,00
9011356;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;118;0;1972100000,00
9011356;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;167;0;10149100000,00
9011356;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;4;114;0;1481790000,00
9011356;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;139;0;977010000,00
9011356;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;114;0;5433230000,00
9011356;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;218;0;5198600000,00
9011356;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;4;214;0;5100350000,00
9011356;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;4;247;0;3777880000,00
9011356;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;4;139;0;2931030000,00
9011356;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;6;139;0;2971620000,00
9011356;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;6;195;0;1995120000,00
9011356;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;4;135;0;2037740000,00
9011356;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;4;295;0;5210000000,00
9011356;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;4;280;0;2635475000,00
9011356;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;4;280;0;5270950000,00
9011356;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;4;470;0;5294550000,00
9011356;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;285;0;951610000,00
9011356;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;4;245;0;1995320000,00
9011356;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;4;245;0;4988300000,00
9011356;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;4;201;0;5222650000,00
9011356;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;4;344;0;1530450000,00
9011356;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;4;345;0;2039680000,00
9011356;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;4;351;0;1525710000,00
9011356;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;4;356;0;2029700000,00
9011356;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;4;345;0;1019840000,00
9011356;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;61;0;19608400000,00
9011356;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;4;300;0;5221950000,00
9011356;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;4;300;0;5224000000,00
9011356;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;4;342;0;4081240000,00
9011356;1;2;16;Banco De Occidente S.A.;8903002794;2;1;1;1;2;4;364;0;2022320000,00
9011356;1;2;16;Banco Santander De Negocios Colombia S.A.;9006281103;2;1;1;1;2;6;363;0;5020250000,00
9011356;1;2;16;Banco Santander De Negocios Colombia S.A.;9006281103;2;1;1;1;2;6;365;0;4016440000,00
9011356;1;2;16;Banco De Occidente S.A.;8903002794;2;1;1;1;2;4;365;0;1516065000,00
9011356;1;2;16;Banco De Occidente S.A.;8903002794;2;1;1;1;2;4;320;0;4150280000,00
9011356;1;2;16;Banco Santander De Negocios Colombia S.A.;9006281103;2;1;1;1;2;6;363;0;2008100000,00
9011356;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;4;314;0;1553160000,00
9011356;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;4;301;0;1043990000,00
9011356;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;4;114;0;4939300000,00
