COD;TIPO ACTIVO;VINCULADO O NO;TIPÒ TITULO;EMISOR;NIT;TIPO INVERSION;TIPO REGISTRO;SISTEMA TRANSACCIONAL;TIPO MONEDA;TIPO SECTOR;CALIFICACION;DIAS AL VTO;DURACIÓN ;VPN
9011356;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;4;161;0;4999300000,00
9011356;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;4;259;0;5104650000,00
9011356;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;4;153;0;2018500000,00
9011356;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;6;395;0;2960700000,00
9011356;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;4;197;0;5138100000,00
9011356;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;6;346;0;2976450000,00
9011356;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;6;437;0;14804400000,00
9011356;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;6;408;0;12835550000,00
9011356;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;4;230;0;4043240000,00
9011356;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;4;284;0;1050800000,00
9011356;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;201;0;1046830000,00
9011356;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;4;107;0;3122160000,00
9011356;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;4;294;0;2088600000,00
9011356;1;2;16;Banco Caja Social;8600073354;2;1;1;1;2;6;120;0;5441500000,00
9011356;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;4;478;0;5266000000,00
9011356;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;4;167;0;3044730000,00
9011356;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;4;143;0;4023960000,00
9011356;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;6;195;0;5017850000,00
9011356;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;4;98;0;2091660000,00
9011356;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;6;9;0;6172260000,00
9011356;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;4;42;0;3079980000,00
9011356;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;4;23;0;3019260000,00
9011356;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;4;314;0;5164700000,00
9011356;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;6;343;0;5019800000,00
9011356;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;4;331;0;5053100000,00
9011356;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;6;365;0;5033000000,00
9011356;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;6;559;0;5002700000,00
9011356;1;2;16;Banco Gnb Sudameris S.A.;8600507501;2;1;1;1;2;4;221;0;3509450000,00
9011356;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;4;130;0;2017440000,00
9011356;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;4;280;0;5067450000,00
9011356;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;4;189;0;4124600000,00
9011356;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;4;250;0;5031400000,00
9011356;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;4;219;0;5033300000,00
9011356;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;6;161;0;5030900000,00
9011356;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;4;281;0;3086400000,00
9011356;1;2;16;Banco De Occidente S.A.;8903002794;2;1;1;1;2;4;388;0;5200200000,00
9011356;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;259;0;5043950000,00
9011356;1;2;16;Banco De Occidente S.A.;8903002794;2;1;1;1;2;4;320;0;4093840000,00
9011356;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;6;103;0;1531755000,00
9011356;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;111;0;2008660000,00
9011356;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;407;0;5176000000,00
9011356;1;2;16;Banco Av Villas S.A.;8600358275;2;1;1;1;2;4;534;0;4975800000,00
9011356;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;6;500;0;1040690000,00
9011356;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;6;97;0;2047360000,00
9011356;1;2;16;Banco Av Villas S.A.;8600358275;2;1;1;1;2;4;528;0;4988700000,00
9011356;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;6;524;0;3004440000,00
9011356;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;6;412;0;985870000,00
9011356;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;421;0;5018650000,00
9011356;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;4;303;0;3027630000,00
9011356;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;4;477;0;5275050000,00
9011356;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;4;507;0;901430000,00
9011356;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;4;479;0;913100000,00
9011356;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;4;471;0;1057310000,00
9011356;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;4;492;0;3080790000,00
9011356;1;2;16;Banco De Occidente S.A.;8903002794;2;1;1;1;2;4;485;0;3154080000,00
9011356;1;2;16;Banco De Occidente S.A.;8903002794;2;1;1;1;2;4;486;0;3149340000,00
9011356;1;2;16;Banco De Occidente S.A.;8903002794;2;1;1;1;2;4;163;0;4036720000,00
9011356;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;4;125;0;4099120000,00
9011356;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;6;199;0;5063950000,00
9011356;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;261;0;2027220000,00
9011356;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;4;506;0;7088620000,00
9011356;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;4;292;0;5093450000,00
9011356;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;4;693;0;5039450000,00
9011356;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;4;335;0;4985750000,00
9011356;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;4;372;0;5119700000,00
9011356;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;6;433;0;4911000000,00
9011356;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;6;523;0;4895100000,00
9011356;1;2;16;Banco De Occidente S.A.;8903002794;2;1;1;1;2;4;228;0;5047250000,00
9011356;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;429;0;5003650000,00
9011356;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;4;403;0;2017840000,00
9011356;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;4;409;0;1036460000,00
9011356;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;4;470;0;5294550000,00
9011356;1;2;16;Banco Itaú S.A;8909039370;2;1;1;1;2;6;531;0;4887300000,00
9011356;1;2;16;Banco Av Villas S.A.;8600358275;2;1;1;1;2;1;512;0;1990280000,00
9011356;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;508;0;5047500000,00
9011356;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;469;0;5109750000,00
9011356;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;4;497;0;2081600000,00
9011356;1;2;16;Banco De Occidente S.A.;8903002794;2;1;1;1;2;1;505;0;1026970000,00
9011356;2;2;0;Bbva Colombia S.A.;8600030201;0;0;0;0;0;0;0;0;1550015118,71
9011356;2;2;0;Banco Agrario De Colombia S.A;8000378008;0;0;0;0;0;0;0;0;250135642,37
9011356;2;2;0;Banco Av Villas S.A.;8600358275;0;0;0;0;0;0;0;0;1511029509,81
9011356;2;2;0;Banco Caja Social;8600073354;0;0;0;0;0;0;0;0;1523994243,28
9011356;2;2;0;Banco Colpatria Multibanca Colpatria S.A.;8600345941;0;0;0;0;0;0;0;0;1728027363,12
9011356;2;2;0;Banco Davivienda S.A.;8600343137;0;0;0;0;0;0;0;0;1534715683,07
9011356;2;2;0;Banco De Bogota S.A.;8600029644;0;0;0;0;0;0;0;0;1506787280,76
9011356;2;2;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;92656529559,37
9011356;2;2;0;Banco Gnb Sudameris S.A.;8600507501;0;0;0;0;0;0;0;0;1493457088,40
9011356;2;1;0;Banco Popular S.A.;8600077389;0;0;0;0;0;0;0;0;60420832285,28
9011356;2;2;0;Banco Itaú S.A;8909039370;0;0;0;0;0;0;0;0;6965358,96
9011356;2;2;0;Bancolombia S.A.;8909039388;0;0;0;0;0;0;0;0;1713996686,65
9011356;2;2;0;Banco De Comercio Ext. De Colombia S.A. Bancoldex;8001499236;0;0;0;0;0;0;0;0;186018861,43
9011356;2;2;0;Banco Falabella S.A.;9000479818;0;0;0;0;0;0;0;0;153470576,17
9011356;2;2;0;Citibank Colombia S.A.;8600511354;0;0;0;0;0;0;0;0;101192533,05
9011356;2;2;0;Banco Itaú S.A;8909039370;0;0;0;0;0;0;0;0;1481348317,50
9011356;2;2;0;Banco Santander De Negocios Colombia S.A.;9006281103;0;0;0;0;0;0;0;0;23201220613,29
9031508;1;2;16;Corporacion Financiera Colombiana S.A.;8903006536;2;1;1;1;2;4;161;0;502110000,00
9031508;1;2;16;Corporacion Financiera Colombiana S.A.;8903006536;2;1;1;1;2;4;251;0;498755000,00
9031508;1;2;3;Bancolombia S.A.;8909039388;2;1;1;1;2;1;1076;0;282003000,00
9031508;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;4;44;0;512515000,00
9031508;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;782;0;485670000,00
9031508;1;2;16;Banco Gnb Sudameris S.A.;8600507501;2;1;1;1;2;4;344;0;496425000,00
9031508;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;4;19;0;10927897,20
9031508;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;4;7;0;211852000,00
9031508;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;4;145;0;19731060,00
9031508;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;4;7;0;15108900,00
9031508;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;4;28;0;16750200,00
9031508;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;4;47;0;69882120,00
9031508;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;4;218;0;456613911,21
9031508;1;2;16;Banco De Comercio Ext. De Colombia S.A. Bancoldex;8001499236;2;1;1;1;2;4;57;0;30110100,00
9031508;1;2;16;Banco Finandina S.A.;8600518946;2;1;1;1;2;6;261;0;501140000,00
9031508;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;4;19;0;14091220,00
9031508;1;2;16;Banco Itaú S.A;8909039370;2;1;1;1;2;6;53;0;34041300,00
9031508;1;2;16;Banco Itaú S.A;8909039370;2;1;1;1;2;6;68;0;33929100,00
9031508;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;4;26;0;18191941,80
9031508;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;4;7;0;21095800,00
9031508;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;4;44;0;23972670,00
9031508;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;4;72;0;10404600,00
9031508;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;4;7;0;16876640,00
9031508;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;4;70;0;12933000,00
9031508;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;4;31;0;32692800,00
9031508;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;4;50;0;11114600,00
9031508;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;4;188;0;12534000,00
9031508;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;4;58;0;41477600,00
9031508;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;4;93;0;31373700,00
9031508;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;4;45;0;21928830,00
9031508;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;4;68;0;13225920,00
9031508;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;4;44;0;5430850,00
9031508;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;4;108;0;55467000,00
9031508;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;2482;0;504715000,00
9031508;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;2118;0;508420000,00
9031508;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;1760;0;508030000,00
9031508;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;1396;0;505300000,00
9031508;1;2;16;Banco Falabella S.A.;9000479818;2;1;1;1;2;6;111;0;6619260,00
9031508;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;4;83;0;10274400,00
9031508;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;4;148;0;13539822,75
9031508;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;4;203;0;15523800,00
9031508;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;4;49;0;13626378,91
9031508;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;4;372;0;17629170,00
9031508;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;678;0;510040000,00
9031508;1;2;16;Banco De Occidente S.A.;8903002794;2;1;1;1;2;4;199;0;503740000,00
9031508;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;4;114;0;16449150,00
9031508;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;434;0;457145000,00
9031508;1;2;16;Banco De Occidente S.A.;8903002794;2;1;1;1;2;1;420;0;463650000,00
9031508;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;4;29;0;33310764,00
9031508;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;1;391;0;464080000,00
9031508;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;1;523;0;489510000,00
9031508;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;1970;0;473720000,00
9031508;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;4;38;0;22131800,00
9031508;2;1;0;Banco Popular S.A.;8600077389;0;0;0;0;0;0;0;0;1575092671,26
9031508;2;2;0;Banco De Bogota S.A.;8600029644;0;0;0;0;0;0;0;0;110189315,27
9031508;2;2;0;Bancolombia S.A.;8909039388;0;0;0;0;0;0;0;0;1507844,66
9031508;2;2;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;2108300485,74
9031508;2;2;0;Banco Davivienda S.A.;8600343137;0;0;0;0;0;0;0;0;859934890,82
9031508;2;2;0;Banco Gnb Sudameris S.A.;8600507501;0;0;0;0;0;0;0;0;2076525787,19
9031508;2;2;0;Citibank Colombia S.A.;8600511354;0;0;0;0;0;0;0;0;8184098,83
